PeakID	Annotation
1-6212	enhancer
1-2048	enhancer
1-4106	enhancer
1-353	enhancer
1-3551	enhancer
1-1737	enhancer
1-135	enhancer
1-6922	enhancer
1-3659	enhancer
1-4815	enhancer
1-5012	enhancer
1-7558	enhancer
1-5217	enhancer
1-1941	enhancer
1-6836	enhancer
1-3243	enhancer
1-255	enhancer
1-1421	enhancer
1-1515	enhancer
1-6775	enhancer
1-5884	enhancer
1-5003	enhancer
1-4646	enhancer
1-4977	enhancer
1-3088	enhancer
1-490	enhancer
1-190	enhancer
1-5927	enhancer
1-5778	enhancer
1-1081	enhancer
1-6773	enhancer
1-5245	enhancer
1-3190	enhancer
1-3163	enhancer
1-4041	enhancer
1-8234	enhancer
1-2741	enhancer
1-3748	enhancer
1-5324	enhancer
1-856	enhancer
1-981	enhancer
1-8088	enhancer
1-8327	enhancer
1-1929	enhancer
1-450	enhancer
1-3831	enhancer
1-5022	enhancer
1-2614	enhancer
1-3023	enhancer
1-2151	enhancer
1-2953	enhancer
1-3982	enhancer
1-3128	enhancer
1-7640	enhancer
1-7324	enhancer
1-2092	enhancer
1-3745	enhancer
1-458	enhancer
1-5172	enhancer
1-362	enhancer
1-3308	enhancer
1-5525	enhancer
1-2120	enhancer
1-5481	enhancer
1-5084	enhancer
1-5040	enhancer
1-8087	enhancer
1-8018	enhancer
1-6955	enhancer
1-7439	enhancer
1-7348	enhancer
1-5560	enhancer
1-2387	enhancer
1-4783	enhancer
1-2980	enhancer
1-7317	enhancer
1-6386	enhancer
1-4923	enhancer
1-664	enhancer
1-4129	enhancer
1-6215	enhancer
1-6119	enhancer
1-7096	enhancer
1-3724	enhancer
1-614	enhancer
1-3086	enhancer
1-4560	enhancer
1-289	enhancer
1-7592	enhancer
1-8009	enhancer
1-5717	enhancer
1-944	enhancer
1-746	enhancer
1-2936	enhancer
1-3990	enhancer
1-8063	enhancer
1-5428	enhancer
1-4671	enhancer
1-5793	enhancer
1-5042	enhancer
1-4457	enhancer
1-6976	enhancer
1-3242	enhancer
1-4817	enhancer
1-1735	enhancer
1-6523	enhancer
1-4161	promoter
1-983	enhancer
1-3931	enhancer
1-6705	enhancer
1-5119	enhancer
1-2689	enhancer
1-8100	enhancer
1-4264	enhancer
1-4559	enhancer
1-3074	enhancer
1-4997	enhancer
1-6789	enhancer
1-3559	enhancer
1-6207	enhancer
1-4818	enhancer
1-6526	enhancer
1-3408	enhancer
1-1213	enhancer
1-3166	enhancer
1-6104	enhancer
1-530	enhancer
1-2148	enhancer
1-1099	enhancer
1-6694	enhancer
1-1122	enhancer
1-1330	enhancer
1-3258	enhancer
1-3750	enhancer
1-6764	enhancer
1-1473	promoter
1-6679	enhancer
1-6512	enhancer
1-4909	enhancer
1-2604	enhancer
1-3765	enhancer
1-7527	enhancer
1-3357	enhancer
1-722	enhancer
1-297	enhancer
1-2548	enhancer
1-3281	enhancer
1-2765	enhancer
1-6883	enhancer
1-81	enhancer
1-6486	enhancer
1-3063	enhancer
1-5067	enhancer
1-4533	enhancer
1-2949	enhancer
1-1218	enhancer
1-2176	enhancer
1-6683	enhancer
1-314	enhancer
1-4037	enhancer
1-1545	enhancer
1-3212	enhancer
1-616	enhancer
1-8222	enhancer
1-6616	enhancer
1-1617	enhancer
1-1440	enhancer
1-8269	enhancer
1-2728	enhancer
1-5564	enhancer
1-5009	enhancer
1-213	enhancer
1-841	enhancer
1-7048	enhancer
1-3814	enhancer
1-3585	enhancer
1-1674	enhancer
1-3164	enhancer
1-2764	enhancer
1-6611	enhancer
1-6957	enhancer
1-2482	enhancer
1-8216	enhancer
1-6718	enhancer
1-4345	enhancer
1-4908	enhancer
1-2019	enhancer
1-2313	enhancer
1-6932	enhancer
1-3034	enhancer
1-5979	enhancer
1-1441	enhancer
1-6208	enhancer
1-4439	enhancer
1-2015	enhancer
1-6893	enhancer
1-5709	enhancer
1-4558	enhancer
1-6967	enhancer
1-5425	enhancer
1-1802	enhancer
1-526	enhancer
1-2149	enhancer
1-4654	enhancer
1-2931	enhancer
1-7042	enhancer
1-5977	enhancer
1-6543	enhancer
1-608	enhancer
1-6234	enhancer
1-5279	enhancer
1-1924	enhancer
1-679	promoter
1-998	enhancer
1-4216	enhancer
1-243	enhancer
1-796	enhancer
1-309	enhancer
1-3165	enhancer
1-2988	enhancer
1-835	enhancer
1-3032	enhancer
1-4238	enhancer
1-6545	enhancer
1-238	enhancer
1-6131	enhancer
1-1845	enhancer
1-1985	enhancer
1-1362	enhancer
1-2306	enhancer
1-5483	enhancer
1-765	enhancer
1-768	enhancer
1-1591	enhancer
1-2315	enhancer
1-194	enhancer
1-379	enhancer
1-7778	enhancer
1-6206	enhancer
1-4502	enhancer
1-5131	enhancer
1-4712	enhancer
1-7118	enhancer
1-7187	enhancer
1-3930	enhancer
1-7720	enhancer
1-3747	enhancer
1-3786	enhancer
1-8111	enhancer
1-5287	enhancer
1-1634	enhancer
1-7582	enhancer
1-8264	enhancer
1-2852	enhancer
1-5130	enhancer
1-6097	enhancer
1-1272	enhancer
1-4628	enhancer
1-5794	enhancer
1-6339	enhancer
1-2677	enhancer
1-1426	enhancer
1-649	enhancer
1-1483	enhancer
1-2309	enhancer
1-556	enhancer
1-1163	enhancer
1-5668	enhancer
1-6547	enhancer
1-3811	enhancer
1-1162	enhancer
1-1273	enhancer
1-1454	enhancer
1-6260	enhancer
1-3824	enhancer
1-1678	enhancer
1-3090	enhancer
1-2259	enhancer
1-7672	enhancer
1-908	enhancer
1-48	enhancer
1-5667	enhancer
1-7750	enhancer
1-1738	enhancer
1-1927	enhancer
1-1819	enhancer
1-551	enhancer
1-308	enhancer
1-4586	promoter
1-8098	enhancer
1-7902	enhancer
1-6036	enhancer
1-8093	promoter
1-6075	enhancer
1-2716	enhancer
1-5856	enhancer
1-3553	enhancer
1-5444	enhancer
1-1228	promoter
1-3694	enhancer
1-5867	enhancer
1-8236	enhancer
1-5224	enhancer
1-6437	enhancer
1-6750	enhancer
1-5225	enhancer
1-3820	enhancer
1-2771	enhancer
1-8293	enhancer
1-3261	enhancer
1-4275	enhancer
1-7114	enhancer
1-3552	enhancer
1-4769	enhancer
1-2937	enhancer
1-3234	enhancer
1-198	enhancer
1-320	enhancer
1-7946	enhancer
1-2060	enhancer
1-8251	enhancer
1-7920	enhancer
1-5883	enhancer
1-1718	enhancer
1-293	enhancer
1-1045	enhancer
1-6244	enhancer
1-8192	enhancer
1-1540	enhancer
1-3693	promoter
1-4314	enhancer
1-4103	enhancer
1-4568	promoter
1-7097	enhancer
1-2443	enhancer
1-4816	enhancer
1-2161	enhancer
1-6738	enhancer
1-8055	enhancer
1-5899	enhancer
1-7588	enhancer
1-3684	enhancer
1-8194	enhancer
1-6537	enhancer
1-3248	enhancer
1-2235	enhancer
1-874	enhancer
1-8066	enhancer
1-8082	enhancer
1-4028	enhancer
1-6760	enhancer
1-6489	enhancer
1-1629	enhancer
1-4352	enhancer
1-3571	enhancer
1-2585	enhancer
1-239	enhancer
1-4931	enhancer
1-5288	enhancer
1-5036	enhancer
1-1977	enhancer
1-4536	enhancer
1-999	enhancer
1-3838	enhancer
1-7102	enhancer
1-3794	enhancer
1-3760	enhancer
1-4414	enhancer
1-1206	enhancer
1-3692	promoter
1-6428	enhancer
1-83	enhancer
1-7437	enhancer
1-8223	enhancer
1-483	enhancer
1-6054	enhancer
1-2121	enhancer
1-7904	enhancer
1-5479	enhancer
1-4256	enhancer
1-6227	enhancer
1-7526	enhancer
1-7112	enhancer
1-5088	enhancer
1-1121	enhancer
1-4395	promoter
1-5278	enhancer
1-5669	enhancer
1-49	enhancer
1-609	enhancer
1-1194	enhancer
1-766	enhancer
1-968	enhancer
1-7470	enhancer
1-5854	enhancer
1-747	enhancer
1-2097	enhancer
1-5584	enhancer
1-1447	enhancer
1-1269	enhancer
1-5665	enhancer
1-1778	enhancer
1-7298	enhancer
1-4768	enhancer
1-5519	enhancer
1-7451	enhancer
1-1175	enhancer
1-4951	enhancer
1-7494	enhancer
1-4924	enhancer
1-5585	enhancer
1-1361	enhancer
1-6719	enhancer
1-4384	enhancer
1-5381	enhancer
1-6799	enhancer
1-4517	enhancer
1-6200	enhancer
1-3812	enhancer
1-7972	enhancer
1-3043	enhancer
1-2679	enhancer
1-702	enhancer
1-6456	enhancer
1-7052	enhancer
1-6777	enhancer
1-3286	enhancer
1-1120	enhancer
1-4713	enhancer
1-7147	enhancer
1-3526	promoter
1-5117	enhancer
1-5442	enhancer
1-133	enhancer
1-4495	enhancer
1-6960	enhancer
1-982	enhancer
1-7900	enhancer
1-4820	enhancer
1-1013	enhancer
1-2455	enhancer
1-8316	enhancer
1-7580	enhancer
1-8347	enhancer
1-4616	enhancer
1-3040	enhancer
1-3615	enhancer
1-2006	enhancer
1-531	enhancer
1-5239	enhancer
1-7950	enhancer
1-7553	enhancer
1-726	enhancer
1-3360	enhancer
1-2954	enhancer
1-2290	enhancer
1-199	enhancer
1-1082	enhancer
1-4348	enhancer
1-1933	enhancer
1-4634	enhancer
1-5374	enhancer
1-6832	enhancer
1-8116	enhancer
1-7625	enhancer
1-863	enhancer
1-259	enhancer
1-1726	enhancer
1-2106	enhancer
1-736	enhancer
1-395	enhancer
1-7924	enhancer
1-2544	enhancer
1-321	enhancer
1-1975	enhancer
1-2272	enhancer
1-7557	enhancer
1-6748	enhancer
1-4581	enhancer
1-2681	enhancer
1-3406	enhancer
1-775	enhancer
1-1541	enhancer
1-455	enhancer
1-755	enhancer
1-4073	enhancer
1-7137	enhancer
1-542	enhancer
1-7951	enhancer
1-6540	enhancer
1-2685	enhancer
1-8117	enhancer
1-6961	enhancer
1-1172	enhancer
1-4258	enhancer
1-3020	enhancer
1-7372	enhancer
1-4734	enhancer
1-1239	enhancer
1-2103	enhancer
1-5559	enhancer
1-4215	enhancer
1-4916	enhancer
1-3008	enhancer
1-457	enhancer
1-6993	enhancer
1-3344	enhancer
1-646	enhancer
1-7779	enhancer
1-4648	enhancer
1-2403	enhancer
1-6797	enhancer
1-4081	enhancer
1-76	enhancer
1-2608	enhancer
1-3313	enhancer
1-6519	enhancer
1-232	enhancer
1-3852	enhancer
1-5822	enhancer
1-5058	enhancer
1-5688	enhancer
1-5141	enhancer
1-6711	enhancer
1-6090	enhancer
1-7848	enhancer
1-6412	enhancer
1-1689	enhancer
1-3785	enhancer
1-4735	enhancer
1-6517	enhancer
1-7975	enhancer
1-725	enhancer
1-426	enhancer
1-3947	enhancer
1-3629	enhancer
1-6513	enhancer
1-3049	enhancer
1-7522	enhancer
1-7899	enhancer
1-2524	enhancer
1-291	enhancer
1-5996	enhancer
1-296	enhancer
1-8006	enhancer
1-5441	enhancer
1-1453	enhancer
1-5047	enhancer
1-6609	enhancer
1-5846	enhancer
1-5028	enhancer
1-597	enhancer
1-7107	enhancer
1-396	enhancer
1-4255	enhancer
1-723	enhancer
1-8061	enhancer
1-665	enhancer
1-5817	enhancer
1-7173	enhancer
1-2504	enhancer
1-5138	enhancer
1-5850	enhancer
1-2951	enhancer
1-7746	enhancer
1-2549	enhancer
1-532	enhancer
1-4456	enhancer
1-5965	enhancer
1-5583	enhancer
1-2071	enhancer
1-1527	enhancer
1-7425	enhancer
1-7389	enhancer
1-5535	enhancer
1-8204	enhancer
1-294	enhancer
1-6682	enhancer
1-7253	enhancer
1-7877	enhancer
1-3333	enhancer
1-734	enhancer
1-3637	enhancer
1-3608	enhancer
1-7165	enhancer
1-375	enhancer
1-4091	enhancer
1-1849	enhancer
1-2094	enhancer
1-4463	enhancer
1-4344	enhancer
1-6528	enhancer
1-5890	enhancer
1-5427	enhancer
1-1633	enhancer
1-7432	enhancer
1-1996	enhancer
1-4571	enhancer
1-4497	enhancer
1-1002	enhancer
1-90	enhancer
1-3465	enhancer
1-5010	enhancer
1-7247	enhancer
1-485	enhancer
1-3219	enhancer
1-162	enhancer
1-887	enhancer
1-7572	enhancer
1-1415	enhancer
1-4217	enhancer
1-3613	enhancer
1-1779	enhancer
1-554	enhancer
1-5059	enhancer
1-1337	enhancer
1-3113	enhancer
1-4286	enhancer
1-4991	enhancer
1-1646	enhancer
1-5480	enhancer
1-4036	enhancer
1-4855	enhancer
1-6179	enhancer
1-2456	enhancer
1-8241	enhancer
1-5489	enhancer
1-8232	enhancer
1-2833	enhancer
1-3	enhancer
1-394	enhancer
1-6340	enhancer
1-520	enhancer
1-3010	enhancer
1-7521	enhancer
1-1549	enhancer
1-1876	enhancer
1-3908	enhancer
1-3751	enhancer
1-1061	enhancer
1-52	enhancer
1-5612	enhancer
1-1645	enhancer
1-7426	enhancer
1-5085	enhancer
1-5013	enhancer
1-5097	enhancer
1-5026	enhancer
1-1056	enhancer
1-4269	enhancer
1-324	enhancer
1-3730	promoter
1-1850	enhancer
1-1141	enhancer
1-6128	enhancer
1-5593	enhancer
1-6975	enhancer
1-484	enhancer
1-4570	enhancer
1-2520	enhancer
1-1543	enhancer
1-1329	enhancer
1-6554	enhancer
1-397	enhancer
1-6821	enhancer
1-7136	enhancer
1-794	enhancer
1-5079	enhancer
1-4724	enhancer
1-2125	enhancer
1-4847	enhancer
1-6548	enhancer
1-607	enhancer
1-4998	enhancer
1-7291	enhancer
1-6313	enhancer
1-4693	enhancer
1-2058	enhancer
1-6365	enhancer
1-6880	enhancer
1-659	promoter
1-356	enhancer
1-163	enhancer
1-1397	enhancer
1-5104	enhancer
1-1083	enhancer
1-5847	enhancer
1-317	enhancer
1-1327	enhancer
1-254	enhancer
1-2132	enhancer
1-1898	enhancer
1-5066	enhancer
1-7519	enhancer
1-5482	enhancer
1-4494	enhancer
1-5594	enhancer
1-5372	enhancer
1-5175	enhancer
1-8054	enhancer
1-2160	enhancer
1-2047	enhancer
1-6986	enhancer
1-2388	enhancer
1-5083	enhancer
1-3910	enhancer
1-7627	enhancer
1-6897	enhancer
1-2207	enhancer
1-6935	enhancer
1-3187	enhancer
1-6709	enhancer
1-37	enhancer
1-3186	enhancer
1-1423	enhancer
1-2485	enhancer
1-7060	enhancer
1-5174	enhancer
1-4266	enhancer
1-4922	enhancer
1-161	enhancer
1-4261	enhancer
1-4428	enhancer
1-3555	enhancer
1-5747	enhancer
1-266	enhancer
1-3167	enhancer
1-3464	enhancer
1-451	enhancer
1-2572	enhancer
1-740	enhancer
1-3933	enhancer
1-157	enhancer
1-3959	enhancer
1-4629	enhancer
1-5975	enhancer
1-192	enhancer
1-6596	enhancer
1-782	enhancer
1-7067	enhancer
1-1756	enhancer
1-3935	enhancer
1-2208	enhancer
1-3871	enhancer
1-6637	enhancer
1-4505	enhancer
1-5101	enhancer
1-467	enhancer
1-2674	enhancer
1-3220	enhancer
1-5759	enhancer
1-553	enhancer
1-179	enhancer
1-3596	enhancer
1-4030	enhancer
1-1677	enhancer
1-444	enhancer
1-4283	enhancer
1-4649	enhancer
1-4519	enhancer
1-415	enhancer
1-6580	enhancer
1-4538	enhancer
1-6463	enhancer
1-488	enhancer
