PeakID	Annotation
1-66760	enhancer
1-86071	enhancer
1-81318	enhancer
1-42415	promoter
1-104241	enhancer
1-32871	promoter
1-22185	promoter
1-50678	promoter
1-92419	promoter
1-79932	promoter
1-52428	promoter
1-17831	enhancer
1-45676	enhancer
1-29139	enhancer
1-77951	enhancer
1-13334	enhancer
1-103642	enhancer
1-95871	promoter
1-59923	promoter
1-82656	enhancer
1-25808	enhancer
1-93376	promoter
1-12305	enhancer
1-11470	enhancer
1-93281	enhancer
1-35019	promoter
1-2146	enhancer
1-46637	enhancer
1-7881	enhancer
1-23800	enhancer
1-57736	enhancer
1-108387	enhancer
1-79175	enhancer
1-85020	enhancer
1-59295	enhancer
1-22434	enhancer
1-3478	enhancer
1-16671	promoter
1-40298	promoter
1-18342	enhancer
1-96638	enhancer
1-72272	enhancer
1-79873	promoter
1-84095	enhancer
1-36935	promoter
1-5306	enhancer
1-72716	enhancer
1-63468	promoter
1-56215	enhancer
1-45523	enhancer
1-97141	enhancer
1-87264	promoter
1-51065	promoter
1-44223	enhancer
1-71879	promoter
1-45361	enhancer
1-89714	enhancer
1-77356	enhancer
1-32116	enhancer
1-101496	enhancer
1-40301	promoter
1-55102	enhancer
1-21554	promoter
1-93472	enhancer
1-64510	enhancer
1-61231	promoter
1-63456	enhancer
1-25443	enhancer
1-60182	promoter
1-97813	enhancer
1-68391	enhancer
1-37573	promoter
1-44344	promoter
1-45505	promoter
1-100072	enhancer
1-76546	enhancer
1-103138	enhancer
1-72783	enhancer
1-11857	enhancer
1-12214	enhancer
1-95761	enhancer
1-79209	enhancer
1-55735	enhancer
1-70292	promoter
1-25508	enhancer
1-41935	enhancer
1-26453	enhancer
1-54044	promoter
1-105417	promoter
1-34288	promoter
1-95776	enhancer
1-100073	enhancer
1-41689	enhancer
1-108386	enhancer
1-49360	promoter
1-55329	enhancer
1-31202	promoter
1-100074	enhancer
1-54050	promoter
1-17480	enhancer
1-6054	promoter
1-108325	promoter
1-45702	enhancer
1-85213	enhancer
1-33173	enhancer
1-43970	enhancer
1-57808	promoter
1-77907	enhancer
1-11635	enhancer
1-97128	enhancer
1-90601	enhancer
1-28746	promoter
1-90765	promoter
1-38190	promoter
1-51615	enhancer
1-50494	promoter
1-10673	enhancer
1-41157	promoter
1-81820	enhancer
1-1195	enhancer
1-52073	enhancer
1-68323	promoter
1-41917	enhancer
1-100967	enhancer
1-25798	enhancer
1-51639	promoter
1-110127	promoter
1-91735	enhancer
1-108776	enhancer
1-66350	enhancer
1-50685	enhancer
1-22433	enhancer
1-27731	enhancer
1-63202	promoter
1-25755	enhancer
1-38779	promoter
1-33291	promoter
1-7851	enhancer
1-21630	promoter
1-81745	promoter
1-71282	enhancer
1-13321	enhancer
1-5109	enhancer
1-37892	promoter
1-33585	promoter
1-89666	promoter
1-62979	promoter
1-3395	enhancer
1-90192	promoter
1-106401	enhancer
1-103632	promoter
1-68849	promoter
1-24814	enhancer
1-36038	enhancer
1-90023	enhancer
1-110	promoter
1-19116	enhancer
1-65825	promoter
1-50484	enhancer
1-101113	promoter
1-39386	enhancer
1-37265	enhancer
1-81581	enhancer
1-62164	enhancer
1-2820	promoter
1-103752	promoter
1-12258	enhancer
1-66442	enhancer
1-48162	enhancer
1-107687	enhancer
1-102440	enhancer
1-42178	promoter
1-11687	enhancer
1-22852	enhancer
1-100952	enhancer
1-70761	promoter
1-54627	promoter
1-90297	enhancer
1-18469	promoter
1-32843	promoter
1-84019	enhancer
1-45263	enhancer
1-41936	enhancer
1-88672	enhancer
1-40838	enhancer
1-7008	enhancer
1-44635	promoter
1-40367	enhancer
1-106579	enhancer
1-89689	promoter
1-105742	enhancer
1-3594	enhancer
1-27276	enhancer
1-21484	promoter
1-86047	enhancer
1-20493	enhancer
1-31173	enhancer
1-12143	promoter
1-45262	enhancer
1-21999	promoter
1-29316	enhancer
1-19166	enhancer
1-76516	enhancer
1-49014	enhancer
1-28537	enhancer
1-49713	promoter
1-57310	promoter
1-51058	promoter
1-87622	promoter
1-94765	promoter
1-24810	enhancer
1-52594	promoter
1-36817	promoter
1-23018	enhancer
1-48241	enhancer
1-84085	enhancer
1-60501	enhancer
1-82885	enhancer
1-33294	enhancer
1-109258	enhancer
1-13266	enhancer
1-68743	promoter
1-43279	promoter
1-110832	promoter
1-22440	promoter
1-11389	enhancer
1-11891	enhancer
1-73192	enhancer
1-107776	promoter
1-97656	promoter
1-5112	promoter
1-64737	promoter
1-77399	promoter
1-2834	promoter
1-17258	enhancer
1-47601	enhancer
1-63403	promoter
1-101524	enhancer
1-34075	enhancer
1-7496	enhancer
1-34979	enhancer
1-59787	promoter
1-33527	enhancer
1-53084	promoter
1-49107	enhancer
1-28747	promoter
1-24425	enhancer
1-27767	enhancer
1-110040	enhancer
1-65868	promoter
1-41519	enhancer
1-95263	promoter
1-66204	promoter
1-78914	promoter
1-68233	enhancer
1-1649	enhancer
1-78616	enhancer
1-7654	enhancer
1-37545	enhancer
1-3300	enhancer
1-66734	promoter
1-87088	promoter
1-105951	enhancer
1-75726	promoter
1-48898	enhancer
1-88998	enhancer
1-4107	enhancer
1-62656	promoter
1-10781	promoter
1-18019	enhancer
1-108738	enhancer
1-34952	enhancer
1-25824	enhancer
1-36393	enhancer
1-69824	enhancer
1-63318	promoter
1-27973	enhancer
1-66450	promoter
1-52448	promoter
1-92172	enhancer
1-38788	promoter
1-80119	enhancer
1-57455	enhancer
1-32773	enhancer
1-45202	enhancer
1-52660	enhancer
1-11133	enhancer
1-78245	promoter
1-35617	promoter
1-13095	promoter
1-36682	enhancer
1-47201	enhancer
1-60747	promoter
1-69187	enhancer
1-3018	promoter
1-74011	enhancer
1-72734	enhancer
1-36710	promoter
