id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	term_name_final	padj_final	fold_enrichment_final	dataset
GO:0021546	rhombomere development	0.0010956349996946	36	6.13702986497016	3.80988552955335e-17	2.50842863265793e-13	176777	5	9	3.09613997113997	0.0123095928065413	0.104575947146152	rhombomere development	2.50842863265793e-13	6.13702986497016	mouse_specific
GO:0030917	midbrain-hindbrain boundary development	0.00102584373745639	34	6.19040892704997	2.17762284036927e-16	7.16873439049565e-13	142661	4	9	2.47691197691198	0.0608787223023264	0.277579991439416	midbrain-hindbrain boundary development	7.16873439049565e-13	6.19040892704997	mouse_specific
GO:1902490	regulation of sperm capacitation	0.000326992129400173	16	9.13911866464201	7.07403499929171e-11	1.55251488117789e-07	99019	2	5	2.22922077922078	0.22121589921022	0.523727249334804	regulation of sperm capacitation	1.55251488117789e-07	9.13911866464201	mouse_specific
GO:0021903	rostrocaudal neural tube patterning	0.0018729130632635	36	3.59009974681689	1.68502231827316e-10	2.77354673587762e-07	139374	5	14	1.99037569573284	0.0896332254662611	0.331356067641697	rostrocaudal neural tube patterning	2.77354673587762e-07	3.59009974681689	mouse_specific
GO:0050684	regulation of mRNA processing	0.0139246329078755	133	1.78397810258952	4.94431762367501e-10	5.44286192945446e-07	326742	31	147	1.17526945843272	0.18551128660579	0.496910622869212	regulation of mRNA processing	5.44286192945446e-07	1.78397810258952	mouse_specific
GO:0061523	cilium disassembly	0.000763220473537879	22	5.38386674340214	4.96008073765595e-10	5.44286192945446e-07	57602	6	13	2.57217782217782	0.0180335274181907	0.13605501858639	cilium disassembly	5.44286192945446e-07	5.38386674340214	mouse_specific
GO:0048143	astrocyte activation	0.00179662293235761	34	3.53462716952804	7.82111782051186e-10	5.91174090856867e-07	337748	8	24	1.85768398268398	0.0520594653136704	0.251843879224986	astrocyte activation	5.91174090856867e-07	3.53462716952804	mouse_specific
GO:0008150	biological_process	0.925645172580789	5067	1.02241684671629	8.02914720894879e-10	5.91174090856867e-07	223132	3543	19692	1.00270785354195	0.211878813281011	0.516676170666544	biological_process	5.91174090856867e-07	1.02241684671629	mouse_specific
GO:0048669	collateral sprouting in absence of injury	0.000935505836964975	24	4.79166418034446	8.08105531244198e-10	5.91174090856867e-07	293905	2	5	2.22922077922078	0.22121589921022	0.523727249334804	collateral sprouting in absence of injury	5.91174090856867e-07	4.79166418034446	mouse_specific
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	0.000822368261395844	22	4.99663899770364	1.8998671917667e-09	1.20283078850944e-06	159910	3	7	2.38845083487941	0.114512707315529	0.378934108380542	negative regulation of stress-activated protein kinase signaling cascade	1.20283078850944e-06	4.99663899770364	mouse_specific
GO:0048024	regulation of mRNA splicing, via spliceosome	0.0121695497045853	118	1.81104454136154	2.00958971348783e-09	1.20283078850944e-06	343981	27	121	1.24357357518515	0.12879202525131	0.407246486428736	regulation of mRNA splicing, via spliceosome	1.20283078850944e-06	1.81104454136154	mouse_specific
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.00935152300926794	97	1.93736308642556	2.21658164941103e-09	1.21616446497685e-06	353132	21	72	1.62547348484848	0.0131947619216336	0.110246589456898	regulation of alternative mRNA splicing, via spliceosome	1.21616446497685e-06	1.93736308642556	mouse_specific
GO:1990764	myofibroblast contraction	0.00111196073492785	25	4.19925443847011	4.90231385099113e-09	2.48283341499428e-06	458151	3	5	3.34383116883117	0.0433186640786985	0.227440258607776	myofibroblast contraction	2.48283341499428e-06	4.19925443847011	mouse_specific
GO:1902746	regulation of lens fiber cell differentiation	0.00165296076819272	30	3.38984891213523	1.85084316686459e-08	8.70425100759749e-06	406889	6	10	3.34383116883117	0.00360022245837291	0.0471249794551237	regulation of lens fiber cell differentiation	8.70425100759749e-06	3.38984891213523	mouse_specific
GO:0032873	negative regulation of stress-activated MAPK cascade	0.000637698183058566	18	5.27204318035106	2.4379311937353e-08	1.07008926530355e-05	180462	2	6	1.85768398268398	0.294208794283488	0.59076523553944	negative regulation of stress-activated MAPK cascade	1.07008926530355e-05	5.27204318035106	mouse_specific
