id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0009987	cellular process	0.889246465998428	6532	1.10359751748446	9.65154302706795e-186	7.44037451956668e-182	144177	4719	17671	1.02624041667054	1.4455743823225e-08	2.00070608856808e-07
GO:0008150	biological_process	0.925645172580789	6628	1.07578292279578	3.59431808486335e-177	1.38542990581058e-173	142915	5173	19692	1.00951532329213	6.67539343177939e-05	0.00045621106352471
GO:0050896	response to stimulus	0.621972634172809	5193	1.2543933196439	5.023552914523e-169	1.29088564726859e-165	144588	2788	10025	1.06873160382626	6.72007176531101e-09	9.83017708515798e-08
GO:0048518	positive regulation of biological process	0.511617965875032	4500	1.32145815015099	1.11698668485535e-162	2.15271258838746e-159	144572	2238	6540	1.31505100643571	7.14066522546915e-73	9.17456470385694e-70
GO:0048522	positive regulation of cellular process	0.492350314116203	4349	1.32709457871514	1.45757930071767e-154	2.2472957658465e-151	146419	2108	6145	1.31828400714086	6.51680690610314e-68	4.56709676719537e-65
GO:0050789	regulation of biological process	0.755375581370846	5878	1.1691044859652	1.25613477161947e-151	1.61392382573575e-148	147374	3525	12527	1.08136499787325	2.35534525443083e-18	1.00316887107222e-16
GO:0051716	cellular response to stimulus	0.548344054005228	4680	1.2822697626868	1.23638766582592e-147	1.36161607369315e-144	143075	2387	8391	1.09319833617042	3.00235611206394e-11	5.9043783846686e-10
GO:0065007	biological regulation	0.767150393735843	5926	1.1605605973753	7.65260180991421e-147	7.37423841907858e-144	147522	3607	12938	1.071369453167	1.13616117761682e-15	3.7270921354247e-14
GO:0050794	regulation of cellular process	0.739458522088749	5772	1.17273312037902	4.78727265575807e-143	4.10056498924878e-140	146418	3406	12114	1.08048150776578	1.15052514968935e-16	4.12530157160706e-15
GO:0035556	intracellular signal transduction	0.274554662153955	2763	1.51195459379792	2.44234327530964e-134	1.8828024309362e-131	138655	1180	3069	1.47756087597205	6.13297531146055e-61	3.15194044506996e-58
GO:0032502	developmental process	0.575167358615886	4779	1.2483302247971	1.12302381693038e-128	7.87035509519665e-126	152281	2404	6931	1.33290386905467	2.08097090245711e-88	6.04840727421388e-85
GO:0048523	negative regulation of cellular process	0.446543839433782	3946	1.32763797266589	9.83188242904958e-127	6.3161651371286e-124	152238	1857	5393	1.3232495274416	2.02761009347687e-58	8.22676116348062e-56
GO:0048519	negative regulation of biological process	0.462550760324764	4052	1.31612374398457	1.19351591991403e-126	7.0775494050902e-124	150652	1935	5644	1.31751093487206	4.81125527417745e-60	2.18176275933141e-57
GO:0048583	regulation of response to stimulus	0.359483549645202	3345	1.39798910696878	1.34266085886097e-125	7.39326611497087e-123	142144	1513	4234	1.37324598664683	3.25935220516759e-56	1.09244983259291e-53
GO:0007165	signal transduction	0.478008899990256	4146	1.30310677192011	1.1641324945725e-124	5.98286493377294e-122	140234	2004	6958	1.10681122985246	5.80488516996409e-11	1.09412860086194e-09
GO:0001944	vasculature development	0.0984126145012483	1298	1.98157543338406	3.49520701880789e-124	1.68403443174938e-121	142332	415	835	1.90994950397712	1.33650880482424e-50	3.12216556860304e-48
GO:0001568	blood vessel development	0.094425618251718	1253	1.99364542598218	3.57264737464758e-121	1.62009050653872e-118	138797	397	799	1.90943109857471	2.37072052461058e-48	4.93942824978999e-46
GO:0048514	blood vessel morphogenesis	0.0829721501268275	1143	2.06966746496136	1.01096383716917e-119	4.32973345596508e-117	135241	358	688	1.99965398299202	1.52608412459234e-49	3.46017132837715e-47
